# G,P,A,output
0.000000000000000000e+00,3.000000000000000000e+03,7.600000000000000000e+01,2.000000000000000000e+01
2.316000000000000014e+01,3.000000000000000000e+03,7.600000000000000000e+01,7.412000000000000455e+01
1.712000000000000099e+01,3.000000000000000000e+03,7.600000000000000000e+01,6.372999999999999687e+01
1.566000000000000014e+01,3.000000000000000000e+03,7.600000000000000000e+01,6.095000000000000284e+01
5.671999999999999886e+01,3.000000000000000000e+03,7.600000000000000000e+01,1.160000000000000000e+02
4.389999999999999858e+01,3.000000000000000000e+03,7.600000000000000000e+01,1.020499999999999972e+02
3.575000000000000000e+01,3.000000000000000000e+03,7.600000000000000000e+01,9.209000000000000341e+01
2.316000000000000014e+01,2.950000000000000000e+03,7.500000000000000000e+01,7.253000000000000114e+01
6.580000000000000071e+00,2.950000000000000000e+03,7.500000000000000000e+01,3.865999999999999659e+01
6.580000000000000071e+00,3.110000000000000000e+03,7.500000000000000000e+01,3.970000000000000284e+01
7.835999999999999943e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.369900000000000091e+02
8.918000000000000682e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.461399999999999864e+02
9.459000000000000341e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.505099999999999909e+02
9.729000000000000625e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.526399999999999864e+02
9.865000000000000568e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.537100000000000080e+02
9.931999999999999318e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.542299999999999898e+02
9.965999999999999659e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.544900000000000091e+02
9.982999999999999829e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.546200000000000045e+02
9.990999999999999659e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.546800000000000068e+02
9.995999999999999375e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.547199999999999989e+02
9.998000000000000398e+01,3.110000000000000000e+03,7.500000000000000000e+01,1.547400000000000091e+02
1.000000000000000000e+02,3.110000000000000000e+03,7.500000000000000000e+01,1.547500000000000000e+02
1.000000000000000000e+02,3.050000000000000000e+03,7.500000000000000000e+01,1.532500000000000000e+02
9.834000000000000341e+01,3.050000000000000000e+03,7.500000000000000000e+01,1.519799999999999898e+02
9.834000000000000341e+01,3.000000000000000000e+03,7.400000000000000000e+01,7.226000000000000512e+01
1.516999999999999993e+01,3.000000000000000000e+03,7.400000000000000000e+01,2.857000000000000028e+01
1.098000000000000043e+01,3.000000000000000000e+03,7.400000000000000000e+01,2.435000000000000142e+01
